"INCHIKEY","SMILES","ID","CAS","FORMULA","MONOISOTOPIC_MASS","Type","name","parent","transformation","generation","biosystem","REF","NumHDonors","NumHAcceptors"
"JOZNZKNHTRLKIW-UHFFFAOYSA-N","C(CCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=O","3",NA,"C11H10F13NO3S","483.01738104","TP","6_2 fluorotelomer sulfonamido propyl methyl amine-TP3","6_2 fluorotelomer sulfonamido propyl methyl amine","EAWAG_RULE_BT0063_PATTERN2","1; 2","ENVMICRO","BioTransformer_env",1,3
"QHJABUZHRJTCAR-UHFFFAOYSA-N","CNCCCN","4",NA,"C4H12N2","88.100048384","TP","6_2 fluorotelomer sulfonamido propyl methyl amine-TP4","6_2 fluorotelomer sulfonamido propyl methyl amine","EAWAG_RULE_BT0144","1","ENVMICRO","BioTransformer_env",2,2
"VIONGDJUYAYOPU-UHFFFAOYSA-N","S(=O)(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O","5",NA,"C8H5F13O3S","427.97518188","TP","6_2 fluorotelomer sulfonamido propyl methyl amine-TP5; 6:2 FTSA","6_2 fluorotelomer sulfonamido propyl methyl amine","EAWAG_RULE_BT0144; Oxidation","1; 2","ENVMICRO; WWTP sludge","BioTransformer_env; 10.1002/etc.3750",1,2
"XFNJVJPLKCPIBV-UHFFFAOYSA-N","NCCCN","7",NA,"C3H10N2","74.08439832","TP","6_2 fluorotelomer sulfonamido propyl methyl amine-TP6","6_2 fluorotelomer sulfonamido propyl methyl amine","EAWAG_RULE_BT0144; EAWAG_RULE_BT0063_PATTERN2","2","ENVMICRO","BioTransformer_env",2,2
"PFQMXWGWLBXTCF-UHFFFAOYSA-N","C(=O)(CCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O","9",NA,"C11H10F13NO4S","499.01229566","TP","6_2 fluorotelomer sulfonamido propyl methyl amine-TP7; 6:2 FTAA Degredation Product 5","6_2 fluorotelomer sulfonamido propyl methyl amine","EAWAG_RULE_BT0003; Oxidation","2; 1","ENVMICRO; WWTP sludge","BioTransformer_env; 10.1002/etc.3750",2,3
"PCXDJQZLDDHMGX-UHFFFAOYSA-N","C(CCN)=O","12",NA,"C3H7NO","73.052763844","TP","6_2 fluorotelomer sulfonamido propyl methyl amine-TP8","6_2 fluorotelomer sulfonamido propyl methyl amine","EAWAG_RULE_BT0063_PATTERN2","2","ENVMICRO","BioTransformer_env",1,2
"AAOIVJJZEDSKPA-UHFFFAOYSA-N","CNCCC=O","13",NA,"C4H9NO","87.068413908","TP","6_2 fluorotelomer sulfonamido propyl methyl amine-TP9","6_2 fluorotelomer sulfonamido propyl methyl amine","EAWAG_RULE_BT0063_PATTERN2","2","ENVMICRO","BioTransformer_env",1,2
"ZFSLODLOARCGLH-UHFFFAOYSA-N","C1(=NC(O)=NC(=N1)O)O","10",NA,"C3H3N3O3","129.017440956","TP","Atrazine-TP1-TP9; Atrazine-TP2-TP9; Atrazine-TP3-TP6; Atrazine-TP4-TP6; Atrazine-TP5-TP9; Atrazine-TP2-1-TP9; Atrazine-TP3-1-TP6; Atrazine-TP4-1-TP6; Atrazine-TP5-1-TP9","","EAWAG_RULE_BT0061; EAWAG_RULE_BT0330_PATTERN3","2","ENVMICRO","BioTransformer_env",3,6
"YSKUZVBSHIWEFK-UHFFFAOYSA-N","C1(=NC(O)=NC(N)=N1)O","12",NA,"C3H4N4O2","128.033425368","TP","Atrazine-TP1-TP10; Atrazine-TP2-TP10; Atrazine-TP3-TP2; Atrazine-TP4-TP2; Atrazine-TP5-TP10; Atrazine-TP2-1-TP10; Atrazine-TP8-TP13; Atrazine-TP9-TP18; Atrazine-TP8-1-TP13; Atrazine-TP3-1-TP2; Atrazine-TP12-TP5; Atrazine-TP9-1-TP18; Atrazine-TP14-TP13; Atrazine-TP4-1-TP2; Atrazine-TP9-2-TP18; Atrazine-TP12-1-TP5; Atrazine-TP5-1-TP10; Atrazine-TP14-1-TP13; Atrazine-TP9-3-TP18","","EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0061; EAWAG_RULE_BT0067_PATTERN1; EAWAG_RULE_BT0330_PATTERN3; EAWAG_RULE_BT0330_PATTERN4","2; 1","ENVMICRO","BioTransformer_env",3,6
"MASBWURJQFFLOO-UHFFFAOYSA-N","NC1=NC(O)=NC(N)=N1","22",NA,"C3H5N5O","127.04940978","TP","Atrazine-TP1-TP12; Atrazine-TP2-TP15; Atrazine-TP3-TP4; Atrazine-TP4-TP4; Atrazine-TP5-TP14; Atrazine-TP2-1-TP15; Atrazine-TP8-TP14; Atrazine-TP9-TP19; Atrazine-TP8-1-TP14; Atrazine-TP3-1-TP4; Atrazine-TP9-1-TP19; Atrazine-TP14-TP14; Atrazine-TP4-1-TP4; Atrazine-TP9-2-TP19; Atrazine-TP5-1-TP14; Atrazine-TP14-1-TP14; Atrazine-TP9-3-TP19; Ammeline","Atrazine","EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1; Mammalian metabolism","2; 1","ENVMICRO; Mammal","BioTransformer_env; 10.5281/zenodo.3827487",3,6
"UJHUCRXOZISPSH-UHFFFAOYSA-N","C1(=NC(O)=NC(NC(C)=O)=N1)O","2",NA,"C5H6N4O3","170.043990052","TP","Atrazine-TP2-TP2; Atrazine-TP5-TP2; Atrazine-TP6-TP18; Atrazine-TP2-1-TP2; Atrazine-TP9-TP17; Atrazine-TP11-TP17; Atrazine-TP9-1-TP17; Atrazine-TP9-2-TP17; Atrazine-TP18-TP18; Atrazine-TP5-1-TP2; Atrazine-TP11-1-TP17; Atrazine-TP9-3-TP17","","EAWAG_RULE_BT0061; EAWAG_RULE_BT0330_PATTERN3; EAWAG_RULE_BT0330_PATTERN4","1; 2","ENVMICRO","BioTransformer_env",3,6
"DLFVBJFMPXGRIB-UHFFFAOYSA-N","NC(C)=O","4",NA,"C2H5NO","59.03711378","TP","Atrazine-TP2-TP4; Atrazine-TP5-TP4; Atrazine-TP6-TP20; Atrazine-TP2-1-TP4; Atrazine-TP9-TP15; Atrazine-TP11-TP16; Atrazine-TP9-1-TP15; Atrazine-TP9-2-TP15; Atrazine-TP18-TP20; Atrazine-TP5-1-TP4; Atrazine-TP11-1-TP16; Atrazine-TP9-3-TP15","","EAWAG_RULE_BT0061","1; 2","ENVMICRO","BioTransformer_env",1,1
"KIQMRVUJLQUPRS-UHFFFAOYSA-N","NC1=NC(O)=NC(NC(C)=O)=N1","6",NA,"C5H7N5O2","169.059974464","TP","Atrazine-TP2-TP6; Atrazine-TP5-TP6; Atrazine-TP6-TP13; Atrazine-TP2-1-TP6; Atrazine-TP9-TP6; Atrazine-TP11-TP12; Atrazine-TP9-1-TP6; Atrazine-TP9-2-TP6; Atrazine-TP18-TP13; Atrazine-TP5-1-TP6; Atrazine-TP11-1-TP12; Atrazine-TP9-3-TP6","","EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0330_PATTERN4; EAWAG_RULE_BT0067_PATTERN1","1; 2","ENVMICRO","BioTransformer_env",3,6
"QLGNGDJFLKBBGA-UHFFFAOYSA-N","C1(=NC(O)=NC(NC(CO)=O)=N1)O","14",NA,"C5H6N4O4","186.038904672","TP","Atrazine-TP2-TP11; Atrazine-TP5-TP11; Atrazine-TP2-1-TP11; Atrazine-TP5-1-TP11","","EAWAG_RULE_BT0332","2","ENVMICRO","BioTransformer_env",4,7
"TZGPACAKMCUCKX-UHFFFAOYSA-N","NC(CO)=O","20",NA,"C2H5NO2","75.0320284","TP","Atrazine-TP2-TP13; Atrazine-TP5-TP13; Atrazine-TP2-1-TP13; Atrazine-TP5-1-TP13","","EAWAG_RULE_BT0332","2","ENVMICRO","BioTransformer_env",2,2
"XQNVQHWFVCUGNK-UHFFFAOYSA-N","NC1=NC(O)=NC(NC(CO)=O)=N1","26",NA,"C5H7N5O3","185.054889084","TP","Atrazine-TP2-TP16; Atrazine-TP5-TP15; Atrazine-TP2-1-TP16; Atrazine-TP9-TP13; Atrazine-TP9-1-TP13; Atrazine-TP9-2-TP13; Atrazine-TP5-1-TP15; Atrazine-TP9-3-TP13","","EAWAG_RULE_BT0332; EAWAG_RULE_BT0330_PATTERN4","2","ENVMICRO","BioTransformer_env",4,7
"CHKCDDQUCVQBIY-UHFFFAOYSA-N","NC1=NC=NC(NC(C)=O)=N1","8",NA,"C5H7N5O","153.065059844","TP","Atrazine-TP6-TP7; Atrazine-TP9-TP1; Atrazine-TP10-TP2; Atrazine-TP11-TP6; Atrazine-TP9-1-TP1; Atrazine-TP9-2-TP1; Atrazine-TP10-1-TP2; Atrazine-TP17-TP2; Atrazine-TP18-TP7; Atrazine-TP11-1-TP6; Atrazine-TP9-3-TP1; Atrazine-TP17-1-TP2","","EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0029; EAWAG_RULE_BT0067_PATTERN1","2; 1","ENVMICRO","BioTransformer_env",2,5
"CPURCWHNQBUZHE-UHFFFAOYSA-N","NC1=NC(Cl)=NC(NC(CO)=O)=N1","15",NA,"C5H6ClN5O2","203.021002112","TP","Atrazine-TP6-TP11; Atrazine-TP9-TP4; Atrazine-TP11-TP10; Atrazine-TP9-1-TP4; Atrazine-TP9-2-TP4; Atrazine-TP18-TP11; Atrazine-TP11-1-TP10; Atrazine-TP9-3-TP4","","EAWAG_RULE_BT0332; EAWAG_RULE_BT0067_PATTERN1","2; 1","ENVMICRO","BioTransformer_env",3,6
"IROCGBNGVFAYFU-UHFFFAOYSA-N","C1(=NC(Cl)=NC(NC(C)=O)=N1)O","16",NA,"C5H5ClN4O2","188.01010308","TP","Atrazine-TP6-TP12; Atrazine-TP9-TP5; Atrazine-TP11-TP11; Atrazine-TP9-1-TP5; Atrazine-TP9-2-TP5; Atrazine-TP18-TP12; Atrazine-TP11-1-TP11; Atrazine-TP9-3-TP5","","EAWAG_RULE_BT0330_PATTERN3","2; 1","ENVMICRO","BioTransformer_env",2,5
"VZXTWGWHSMCWGA-UHFFFAOYSA-N","NC1=NC(N)=NC=N1","7",NA,"C3H5N5","111.05449516","TP","Atrazine-TP8-TP6; Atrazine-TP9-TP7; Atrazine-TP10-TP6; Atrazine-TP8-1-TP6; Atrazine-TP12-TP1; Atrazine-TP13-TP2; Atrazine-TP9-1-TP7; Atrazine-TP14-TP6; Atrazine-TP9-2-TP7; Atrazine-TP12-1-TP1; Atrazine-TP15-TP2; Atrazine-TP16-TP6; Atrazine-TP10-1-TP6; Atrazine-TP13-1-TP2; Atrazine-TP15-1-TP2; Atrazine-TP17-TP6; Atrazine-TP14-1-TP6; Atrazine-TP9-3-TP7; Atrazine-TP17-1-TP6","","EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0029; EAWAG_RULE_BT0067_PATTERN1","2; 1","ENVMICRO","BioTransformer_env",2,5
"GHCVXTFBVDVFGE-UHFFFAOYSA-N","C1(=NC(N)=NC(Cl)=N1)O","10",NA,"C3H3ClN4O","145.999538396","TP","Atrazine-TP8-TP8; Atrazine-TP9-TP10; Atrazine-TP8-1-TP8; Atrazine-TP12-TP2; Atrazine-TP9-1-TP10; Atrazine-TP14-TP8; Atrazine-TP9-2-TP10; Atrazine-TP12-1-TP2; Atrazine-TP14-1-TP8; Atrazine-TP9-3-TP10","","EAWAG_RULE_BT0330_PATTERN3; EAWAG_RULE_BT0063_PATTERN2; EAWAG_RULE_BT0067_PATTERN1","2; 1","ENVMICRO","BioTransformer_env",2,5
"PKNPRIYCUVKOFU-UHFFFAOYSA-N","CC(C)NC1=NC(=NC=N1)O","11",NA,"C6H10N4O","154.08546094","TP","Atrazine-TP8-TP9; Atrazine-TP8-1-TP9","","EAWAG_RULE_BT0029","2","ENVMICRO","BioTransformer_env",2,5
"YDHNHFNGJCKAIZ-UHFFFAOYSA-N","C1(=NC(=NC(Cl)=N1)O)O","13",NA,"C3H2ClN3O2","146.983553984","TP","Atrazine-TP8-TP11; Atrazine-TP9-TP16; Atrazine-TP8-1-TP11; Atrazine-TP12-TP4; Atrazine-TP9-1-TP16; Atrazine-TP14-TP11; Atrazine-TP9-2-TP16; Atrazine-TP12-1-TP4; Atrazine-TP14-1-TP11; Atrazine-TP9-3-TP16","","EAWAG_RULE_BT0061; EAWAG_RULE_BT0330_PATTERN3","2","ENVMICRO","BioTransformer_env",2,5
"KCIMKNBROURZOR-UHFFFAOYSA-N","C(C(=O)NC1=NC(N)=NC=N1)O","9",NA,"C5H7N5O2","169.059974464","TP","Atrazine-TP9-TP8; Atrazine-TP10-TP7; Atrazine-TP9-1-TP8; Atrazine-TP9-2-TP8; Atrazine-TP10-1-TP7; Atrazine-TP17-TP7; Atrazine-TP9-3-TP8; Atrazine-TP17-1-TP7","","EAWAG_RULE_BT0332; EAWAG_RULE_BT0029","2","ENVMICRO","BioTransformer_env",3,6
"WBWBFLRCQMLGON-UHFFFAOYSA-N","C(C(=O)NC1=NC(N)=NC(Cl)=N1)=O","13",NA,"C5H4ClN5O2","201.005352048","TP","Atrazine-TP9-TP11; Atrazine-TP9-1-TP11; Atrazine-TP9-2-TP11; Atrazine-TP9-3-TP11","","EAWAG_RULE_BT0001","2","ENVMICRO","BioTransformer_env",2,6
"ZMFHCDFJDSLBRR-UHFFFAOYSA-N","C(C(=O)NC1=NC(=NC(Cl)=N1)O)O","17",NA,"C5H5ClN4O3","204.0050177","TP","Atrazine-TP9-TP12; Atrazine-TP9-1-TP12; Atrazine-TP9-2-TP12; Atrazine-TP9-3-TP12","","EAWAG_RULE_BT0330_PATTERN3; EAWAG_RULE_BT0332","2","ENVMICRO","BioTransformer_env",3,6
"GSOHMIRRNZYYJG-UHFFFAOYSA-N","CC(=O)NC1=NC(=NC=N1)O","19",NA,"C5H6N4O2","154.049075432","TP","Atrazine-TP9-TP14; Atrazine-TP9-1-TP14; Atrazine-TP9-2-TP14; Atrazine-TP9-3-TP14","","EAWAG_RULE_BT0029","2","ENVMICRO","BioTransformer_env",2,5
"NHSNRSSNNDXUMH-UHFFFAOYSA-N","CC(=O)NC1=NC=NC(NC(C)=O)=N1","1",NA,"C7H9N5O2","195.075624528","TP","Atrazine-TP11-TP1; Atrazine-TP11-1-TP1","","EAWAG_RULE_BT0029","1","ENVMICRO","BioTransformer_env",2,5
"KUMYSWKBTBNLLQ-UHFFFAOYSA-N","C(C(=O)NC1=NC(Cl)=NC(NC(C)=O)=N1)O","4",NA,"C7H8ClN5O3","245.031566796","TP","Atrazine-TP11-TP4; Atrazine-TP11-1-TP4","","EAWAG_RULE_BT0332","1","ENVMICRO","BioTransformer_env",3,6
"RTIFUAIHJMZJEH-UHFFFAOYSA-N","CC(=O)NC1=NC(=NC(NC(C)=O)=N1)O","5",NA,"C7H9N5O3","211.070539148","TP","Atrazine-TP11-TP5; Atrazine-TP11-1-TP5","","EAWAG_RULE_BT0330_PATTERN4","1","ENVMICRO","BioTransformer_env",3,6
"KYQSHAYGUKMVNG-UHFFFAOYSA-N","C(C(=O)NC1=NC=NC(NC(C)=O)=N1)O","8",NA,"C7H9N5O3","211.070539148","TP","Atrazine-TP11-TP7; Atrazine-TP11-1-TP7","","EAWAG_RULE_BT0332; EAWAG_RULE_BT0029","2","ENVMICRO","BioTransformer_env",3,6
"WSHNXFREMDHMNB-UHFFFAOYSA-N","C(C(=O)NC1=NC(Cl)=NC(NC(C)=O)=N1)=O","16",NA,"C7H6ClN5O3","243.015916732","TP","Atrazine-TP11-TP13; Atrazine-TP11-1-TP13","","EAWAG_RULE_BT0001","2","ENVMICRO","BioTransformer_env",2,6
"MUIOXDSTUWDTOZ-UHFFFAOYSA-N","C(C(=O)NC1=NC(Cl)=NC(NC(CO)=O)=N1)O","22",NA,"C7H8ClN5O4","261.026481416","TP","Atrazine-TP11-TP14; Atrazine-TP11-1-TP14","","EAWAG_RULE_BT0332","2","ENVMICRO","BioTransformer_env",4,7
"QGUNOINBRUDYBD-UHFFFAOYSA-N","C(C(=O)NC1=NC(=NC(NC(C)=O)=N1)O)O","23",NA,"C7H9N5O4","227.065453768","TP","Atrazine-TP11-TP15; Atrazine-TP11-1-TP15","","EAWAG_RULE_BT0330_PATTERN4; EAWAG_RULE_BT0332","2","ENVMICRO","BioTransformer_env",4,7
"MFEFTTYGMZOIKO-UHFFFAOYSA-N","C1(=NC(N)=NC=N1)O","3",NA,"C3H4N4O","112.038510748","TP","Atrazine-TP12-TP3; Atrazine-TP12-1-TP3","","EAWAG_RULE_BT0029","2","ENVMICRO","BioTransformer_env",2,5
"SVHCCFAIROBWBE-UHFFFAOYSA-N","CCNC1=NC(=NC=N1)O","11",NA,"C5H8N4O","140.069810876","TP","Atrazine-TP14-TP9; Atrazine-TP14-1-TP9","","EAWAG_RULE_BT0029","2","ENVMICRO","BioTransformer_env",2,5
"HDKWWPVVCJDKQQ-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1N2C(C)C(OCC2=O)O","2",NA,"C14H19NO3","249.136493468","TP","S-Metolachlor-TP1-TP2","","EAWAG_RULE_BT0073","1","ENVMICRO","BioTransformer_env",1,3
"QPDFDZIXZFNQDJ-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1N2C(C)COC(C2=O)O","3",NA,"C14H19NO3","249.136493468","TP","S-Metolachlor-TP1-TP3","","EAWAG_RULE_BT0073","1","ENVMICRO","BioTransformer_env",1,3
"KFKJLXIXDYQPNP-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1N2C(C)C(OC(C2=O)O)O","10",NA,"C14H19NO4","265.131408088","TP","S-Metolachlor-TP1-TP9","","EAWAG_RULE_BT0073","2","ENVMICRO","BioTransformer_env",2,4
"HBOZGWCYCQTEAK-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1N2C(C)(COCC2=O)O","11",NA,"C14H19NO3","249.136493468","TP","S-Metolachlor-TP1-TP10","","EAWAG_RULE_BT0218","2","ENVMICRO","BioTransformer_env",1,3
"STJIQOWMZRFULL-UHFFFAOYSA-N","CCc1cccc(C)c1NC(C)C(OCC(=O)O)O","12",NA,"C14H21NO4","267.147058152","TP","S-Metolachlor-TP1-TP11","","EAWAG_RULE_BT0430","2","ENVMICRO","BioTransformer_env",3,4
"PMIOVDHPRVZOBO-UHFFFAOYSA-N","CCc1cccc(C)c1NC(C)COC(C(=O)O)O","16",NA,"C14H21NO4","267.147058152","TP","S-Metolachlor-TP1-TP13","","EAWAG_RULE_BT0430","2","ENVMICRO","BioTransformer_env",3,4
"JZGSLTWUHTZSAZ-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1NC(C)C=O","17",NA,"C12H17NO","191.131014164","TP","S-Metolachlor-TP1-TP14; S-Metolachlor-TP2-TP1; S-Metolachlor-TP5-TP1; S-Metolachlor-TP6-TP18; S-Metolachlor-TP5-1-TP1","","EAWAG_RULE_BT0023_PATTERN2; EAWAG_RULE_BT0001","2; 1","ENVMICRO","BioTransformer_env",1,2
"ALFXNLHLMQREPR-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1NC(C)CO","19",NA,"C12H19NO","193.146664228","TP","S-Metolachlor-TP1-TP16; S-Metolachlor-TP2-TP3; S-Metolachlor-TP5-TP3; S-Metolachlor-TP6-TP19; S-Metolachlor-TP5-1-TP3","","EAWAG_RULE_BT0023_PATTERN2","2; 1","ENVMICRO","BioTransformer_env",2,2
"HHLFWLYXYJOTON-UHFFFAOYSA-N","O=CC(=O)O","20",NA,"C2H2O3","74.000393924","TP","S-Metolachlor-TP1-TP17; S-Metolachlor-TP2-TP4; S-Metolachlor-TP3-TP3; S-Metolachlor-TP6-TP20","","EAWAG_RULE_BT0023_PATTERN2; EAWAG_RULE_BT0001","2; 1","ENVMICRO","BioTransformer_env",1,2
"AONOZBGBRAWBEC-UHFFFAOYSA-N","C(=O)(C)COCC(=O)O","22",NA,"C5H8O4","132.042258736","TP","S-Metolachlor-TP1-TP19; S-Metolachlor-TP2-TP6","","EAWAG_RULE_BT0063_PATTERN2","2; 1","ENVMICRO","BioTransformer_env",1,3
"ACQCQKSFTBFYDO-UHFFFAOYSA-N","CCc1cccc(C)c1NC(C)C(=O)O","7",NA,"C12H17NO2","207.125928784","TP","S-Metolachlor-TP2-TP7; S-Metolachlor-TP5-TP6; S-Metolachlor-TP5-1-TP6","","EAWAG_RULE_BT0003","2","ENVMICRO","BioTransformer_env",2,2
"UGDPORURTJEURP-UHFFFAOYSA-N","CCC1=C(C(=CC(C)=C1NC(C)CO)O)O","10",NA,"C12H19NO3","225.136493468","TP","S-Metolachlor-TP2-TP8; S-Metolachlor-TP5-TP7; S-Metolachlor-TP5-1-TP7","","EAWAG_RULE_BT0005_PATTERN3","2","ENVMICRO","BioTransformer_env",4,4
"DRCFZRNQWXJNSF-UHFFFAOYSA-N","CCC1=CC(=C(C(C)=C1NC(C)CO)O)O","11",NA,"C12H19NO3","225.136493468","TP","S-Metolachlor-TP2-TP9; S-Metolachlor-TP5-TP8; S-Metolachlor-TP5-1-TP8","","EAWAG_RULE_BT0005_PATTERN3","2","ENVMICRO","BioTransformer_env",4,4
"RMPHRLPGAHEOPX-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1NC(C)(C)O","14",NA,"C12H19NO","193.146664228","TP","S-Metolachlor-TP2-TP11; S-Metolachlor-TP5-TP10; S-Metolachlor-TP5-1-TP10","","EAWAG_RULE_BT0218","2","ENVMICRO","BioTransformer_env",2,2
"MUBZPKHOEPUJKR-UHFFFAOYSA-N","O=C(C(=O)O)O","15",NA,"C2H2O4","89.995308544","TP","S-Metolachlor-TP2-TP12","","EAWAG_RULE_BT0003","2","ENVMICRO","BioTransformer_env",2,2
"RGPQSJHAAUASOX-UHFFFAOYSA-N","CCC1=C(C(=CC(C)=C1N)O)O","16",NA,"C9H13NO2","167.094628656","TP","S-Metolachlor-TP2-TP13; S-Metolachlor-TP5-TP11; S-Metolachlor-TP5-1-TP11","","EAWAG_RULE_BT0005_PATTERN3","2","ENVMICRO","BioTransformer_env",3,3
"AOPVCICATQBYDJ-UHFFFAOYSA-N","CCC1=CC(=C(C(C)=C1N)O)O","17",NA,"C9H13NO2","167.094628656","TP","S-Metolachlor-TP2-TP14; S-Metolachlor-TP5-TP12; S-Metolachlor-TP5-1-TP12","","EAWAG_RULE_BT0005_PATTERN3","2","ENVMICRO","BioTransformer_env",3,3
"RNQMERCPVXXHIB-UHFFFAOYSA-N","CC(C1=CC=CC(C)=C1N)O","19",NA,"C9H13NO","151.099714036","TP","S-Metolachlor-TP2-TP16; S-Metolachlor-TP5-TP14; S-Metolachlor-TP5-1-TP14","","EAWAG_RULE_BT0242_PATTERN3","2","ENVMICRO","BioTransformer_env",2,2
"LNOOSYCKMKZOJB-UHFFFAOYSA-N","CCc1cccc(C)c1N(C(C)COC)C(=O)C(=O)O","7",NA,"C15H21NO4","279.147058152","TP","S-Metolachlor-TP6-TP7; metolachlor oxanilic acid","S-Metolachlor","EAWAG_RULE_BT0003; Environmental Transformation","2; 1","ENVMICRO; NULL","BioTransformer_env; 10.1016/j.watres.2019.114972",1,3
"WMAIKAUPOIRPIM-UHFFFAOYSA-N","CCC1=CC=CC(C)=C1NC(=O)C=O","13",NA,"C11H13NO2","191.094628656","TP","S-Metolachlor-TP6-TP11","","EAWAG_RULE_BT0001","2","ENVMICRO","BioTransformer_env",1,2
"PQOIZBRRWJWKAC-UHFFFAOYSA-N","CCNC1=NC(=NC(=N1)Cl)NC(C)CO","15",NA,"C8H14ClN5O","231.0886878","TP","2-Chloro-4-(ethylamino)-6-(1-methyl-2-hydroxyethylamino)-1,3,5-triazine","Atrazine","In vitro mammalian metabolism","1","Mammal (in vitro)","10.5281/zenodo.3827487",3,6
"IMFSUYMDPTXKCC-VIFPVBQESA-N","CCC1=CC=CC(=C1N([C@@H](C)C(=O)O)C(=O)C(=O)O)C","1",NA,"C14H17NO5","279.11067264","TP","CGA 357704","S-Metolachlor","Environmental Transformation","1","NULL","10.1016/j.watres.2019.114972",2,3
"QPVPJECIHVSBLZ-UHFFFAOYSA-N","CCC1=CC=CC(=C1NC(=O)CS(=O)(=O)O)C","2",NA,"C11H15NO4S","257.07217913","TP","CGA 368208 = Acetochlor sulfonic acid","S-Metolachlor","Environmental Transformation","1","NULL","10.1016/j.watres.2019.114972",2,3
"ACQCQKSFTBFYDO-VIFPVBQESA-N","CCC1=CC=CC(=C1N[C@@H](C)C(=O)O)C","4",NA,"C12H17NO2","207.125928785","TP","CGA 50267","S-Metolachlor","Environmental Transformation","1","NULL","10.1016/j.watres.2019.114972",2,2
"SAWXESXDACFEPC-UHFFFAOYSA-N","CCC1=CC=CC(=C1NC(=O)C(=O)O)C","5",NA,"C11H13NO3","207.08954328","TP","CGA 50720","S-Metolachlor","Environmental Transformation","1","NULL","10.1016/j.watres.2019.114972",2,2
"WOXWIWNBIJDJHI-JTQLQIEISA-N","CCC1=CC=CC(=C1N([C@@H](C)C(=O)O)C(=O)CS(=O)(=O)O)C","6",NA,"C14H19NO6S","329.0933085","TP","NOA 413173","S-Metolachlor","Environmental Transformation","1","NULL","10.1016/j.watres.2019.114972",2,4
"RNRZTRIOAPZEME-UHFFFAOYSA-N","CCC1=CC=CC(=C1N(C(C)CO)C(=O)CCl)C","7",NA,"C14H20ClNO2","269.1182566","TP","2-Chloro-N-(2-ethyl-6-methylphenyl)-N-(2-hydroxy-1-methylethyl)acetamide","S-Metolachlor","O-demethylation / Human Phase I","1","Human","10.1186/s13321-018-0324-5",1,2
"CIGKZVUEZXGYSV-UHFFFAOYSA-N","CCC1=CC=CC(=C1N(C(C)COC)C(=O)CS(=O)(=O)O)C","8",NA,"C15H23NO5S","329.12969401","TP","metolachlor ethane sulfonic acid","S-Metolachlor","Environmental Transformation","1","NULL","10.1016/j.watres.2019.114972",1,4
"SQAFCSVGKMMETM-UHFFFAOYSA-N","C(CS(=O)(=O)N)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","2",NA,"C8H6F13NO2S","426.9911657","TP","6:2 FTSAm","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidative N-demethylation(x2); Oxidative N-demethylation; Oxidation+Oxidative N-dealkylation; Oxidative N-dealkylation","1; 2","WWTP sludge","10.1002/etc.3750",1,2
"GRJRKPMIRMSBNK-UHFFFAOYSA-N","C(CO)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","4",NA,"C8H5F13O","364.0132809","TP","6:2 FTOH","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidation/Oxidation(x2); Oxidation","2; 1","WWTP sludge","10.1002/etc.3750",1,1
"LRWIIEJPCFNNCZ-UHFFFAOYSA-N","C(C(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F","7",NA,"C8H3F13O2","377.9925454","TP","6:2 FTCA","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidation(x4); Oxidation(x3); Oxidation(x2); Oxidation","2; 1","WWTP sludge; WWTP sludge/Male Sprague-Dawley rat - blood, liver, kidneys","10.1002/etc.3750; 10.1002/etc.3750/10.1016/j.cbi.2005.06.007",1,1
"BKOBFLVYTXYFQZ-UHFFFAOYSA-N","C(=C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)C(=O)O","9",NA,"C8H2F12O2","357.9863172","TP","6:2 FTUCA; 6:2 FtUCA","6_2 fluorotelomer sulfonamido propyl methyl amine","Oxidation(x5); Oxidation; Oxidation(x4); Oxidation(x3); Oxidation(x2)","2; 1","WWTP sludge; soil microcosm","10.1002/etc.3750; 10.1021/acs.est.5b01219",1,1
